"Provider";"Cost";"Account";"Link";"Data";"Description"
"Blocklist.de";"Free";"No";"http://www.blocklist.de/lists/ssh.txt";"IP";" All IP addresses which have been reported within the last 48 hours as having run attacks on the service SSH. "
"Blocklist.de";"Free";"No";"http://www.blocklist.de/lists/apache.txt";"IP";"All IP addresses which have been reported within the last 48 hours as having run attacks on the service Apache, Apache-DDOS, RFI-Attacks. "
"Blocklist.de";"Free";"No";"http://www.blocklist.de/lists/bots.txt";"IP";"All IP addresses which have been reported within the last 48 hours as having run attacks attacks on the RFI-Attacks, REG-Bots, IRC-Bots or BadBots (BadBots = he has posted a Spam-Comment on a open Forum or Wiki). "
"Blocklist.de";"Free";"No";"http://www.blocklist.de/lists/ftp.txt";"IP";"All IP addresses which have been reported within the last 48 hours for attacks on the Service FTP. "
"Blocklist.de";"Free";"No";"http://www.blocklist.de/lists/imap.txt";"IP";"All IP addresses which have been reported within the last 48 hours for attacks on the Service imap, sasl, pop3..... "
"Blocklist.de";"Free";"No";"http://www.blocklist.de/lists/sip.txt";"IP";"All IP addresses that tried to login in a SIP-, VOIP- or Asterisk-Server and are inclueded in the IPs-List from http://www.infiltrated.net/"
"Blocklist.de";"Free";"No";"http://www.blocklist.de/lists/mail.txt";"IP";"All IP addresses which have been reported within the last 48 hours as having run attacks on the service Mail, Postfix. "
"Blocklist.de";"Free";"No";"http://lists.blocklist.de/lists/bruteforcelogin.txt ";"IP";"All IPs which attacks Joomlas, Wordpress and other Web-Logins with Brute-Force Logins."
"psbl.org";"Free";"No";"rsync -z psbl-mirror.surriel.com::psbl/psbl.txt .";"IP";"IP Adresses that occurred in emails emails"
"psbl.org";"Free";"No";"http://psbl.org/evidence?ip=xxx.xxx.xxx.xxx&action=Check+evidence";"IP, email";"Spamtrap Emails "
"abuse.ch";"Free";"No";"https://zeustracker.abuse.ch/monitor.php?urlfeed=dropzones";"URL";"RSS Feed which notifies you about new ZeuS dropzone URLs."
"abuse.ch";"Free";"No";"https://zeustracker.abuse.ch/monitor.php?urlfeed=binaries";"URL";" RSS Feed which notifies you about new ZeuS binary URLs."
"abuse.ch";"Free";"No";"https://zeustracker.abuse.ch/monitor.php?urlfeed=configs";"URL";"RSS Feed which notifies you about new ZeuS config URLs."
"abuse.ch";"Free";"No";"https://zeustracker.abuse.ch/removals.php?show=rss";"URL";"Description: RSS Feed for the ZeuS Tracker Removal List. Notifies you when a ZeuS host will be removed from the ZeuS Tracker."
"abuse.ch";"Free";"No";"https://zeustracker.abuse.ch/rss.php";"URL";"Standard RSS Feed for the ZeuS Tracker (monitor page) which notifies you about new ZeuS hosts."
"abuse.ch";"Free";"No";"https://zeustracker.abuse.ch/blocklist.php?download=ipblocklist";"IP";"IP Blocklist"
"projecthoneypot.org";"Free";"Yes";"https://www.projecthoneypot.org/search_ip.php";"IP";"Honeypot IP Lookup"
"projecthoneypot.org";"Free";"Yes";"https://www.projecthoneypot.org/list_of_ips.php?rss=1";"IP";"Honeypot IP RSS Feed"
"packetmail.net";"Free";"No";"https://www.packetmail.net/iprep.txt";"IP";"Mail honeypot IP"
